Дата,Сообщение
2022-08-26T03:00:00.000+03:00,"📊 Touches: t1=true, t2=false, t3=false, stage=1"
2022-08-26T03:00:00.000+03:00,"🎨 DRAW CHECK bar=120: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-27T03:00:00.000+03:00,"🎨 DRAW CHECK bar=121: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-28T03:00:00.000+03:00,"🎨 DRAW CHECK bar=122: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-29T03:00:00.000+03:00,"🎨 DRAW CHECK bar=123: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-30T03:00:00.000+03:00,"🎨 DRAW CHECK bar=124: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-31T03:00:00.000+03:00,"🎨 DRAW CHECK bar=125: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-09-01T03:00:00.000+03:00,"🔺 NEW HIGH CHECK: high=0.636 > maxForComparison=0.309, wick=30.521%, threshold=15%"
2022-09-01T03:00:00.000+03:00,"🔍 Found best MAX: bar=82, price=0.309, barsSearched=96"
2022-09-01T03:00:00.000+03:00,"⏳ PENDING MAX: price=0.309, bar=82, waiting for 0.618 touch"
2022-09-01T03:00:00.000+03:00,"🔒 touchedZone06_07 = true: цена достигла зоны 78.6%+ (high=0.636, level_0786=0.255)"
2022-09-01T03:00:00.000+03:00,"✅ SELL ALL @ 78.6%: bar=126, price=0.255, amount=$250, profit=$60.879"
2022-09-01T03:00:00.000+03:00,"🔄 ПЕРЕХОД НА ЭТАП 2: новые уровни BUY(0.5/0.382/0.236), SELL(0.618/0.5/0.382)"
2022-09-01T03:00:00.000+03:00,🏁 ЦИКЛ ЗАВЕРШЁН (Этап 2): переход в WAITING_RESET
2022-09-01T03:00:00.000+03:00,"🔄 NEW CYCLE in WAITING_RESET: cycleId=1, high=0.636 > max=0.309, SAME MIN=0.125"
2022-09-01T03:00:00.000+03:00,"📍 KEEPING SAME MIN in WAITING_RESET (no lower found): minPrice=0.125, minBar=30"
2022-09-01T03:00:00.000+03:00,"🔍 WAITING_RESET: Current bar is absolute high with big wick, using body: 0.487"
2022-09-01T03:00:00.000+03:00,"🔍 WAITING_RESET: MAX=0.487 (body), barrier=0.487 (body)"
2022-09-01T03:00:00.000+03:00,"✅ WAITING_RESET->FIBO with SAME MIN: 290.385% growth - OK, searchStartBar=30, RESET to Stage 1"
2022-09-01T03:00:00.000+03:00,"🎨 DRAW CHECK bar=126: showFibLines=true, canBuild=true, needsRedraw=true, drawnCycleId=-1, currentCycleId=1"
2022-09-01T03:00:00.000+03:00,"📦 BOX CREATE: startBar=82, endBar=126, cycle=1, minBar=30, valid=1"
2022-09-01T03:00:00.000+03:00,"✅ BOXES CREATED: bar=126, fib_1=0.309, fib_0=0.125"
2022-09-02T03:00:00.000+03:00,"🔺 NEW HIGH CHECK: high=0.492 > maxForComparison=0.487, wick=0.924%, threshold=15%"
2022-09-02T03:00:00.000+03:00,"🔍 Found best MAX: bar=127, price=0.492, barsSearched=97"
2022-09-02T03:00:00.000+03:00,"⏳ PENDING MAX: price=0.492, bar=127, waiting for 0.618 touch"
2022-09-02T03:00:00.000+03:00,"🔒 touchedZone06_07 = true: цена достигла зоны 78.6%+ (high=0.492, level_0786=0.367)"
2022-09-02T03:00:00.000+03:00,"🎨 DRAW CHECK bar=127: showFibLines=true, canBuild=true, needsRedraw=true, drawnCycleId=1, currentCycleId=1"
2022-09-02T03:00:00.000+03:00,"📦 BOX CREATE: startBar=127, endBar=127, cycle=1, minBar=30, valid=1"
2022-09-02T03:00:00.000+03:00,"✅ BOXES CREATED: bar=127, fib_1=0.492, fib_0=0.125"
2022-09-03T03:00:00.000+03:00,"🎨 DRAW CHECK bar=128: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-04T03:00:00.000+03:00,"🎨 DRAW CHECK bar=129: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-05T03:00:00.000+03:00,"🎨 DRAW CHECK bar=130: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-06T03:00:00.000+03:00,"🎨 DRAW CHECK bar=131: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-07T03:00:00.000+03:00,"🎨 DRAW CHECK bar=132: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-08T03:00:00.000+03:00,"🎨 DRAW CHECK bar=133: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-09T03:00:00.000+03:00,"🎨 DRAW CHECK bar=134: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-10T03:00:00.000+03:00,"🎨 DRAW CHECK bar=135: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-11T03:00:00.000+03:00,"🎨 DRAW CHECK bar=136: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-12T03:00:00.000+03:00,"🎨 DRAW CHECK bar=137: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-13T03:00:00.000+03:00,"🎨 DRAW CHECK bar=138: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-14T03:00:00.000+03:00,"🎨 DRAW CHECK bar=139: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-15T03:00:00.000+03:00,"🎨 DRAW CHECK bar=140: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-16T03:00:00.000+03:00,"🎨 DRAW CHECK bar=141: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-17T03:00:00.000+03:00,"🎨 DRAW CHECK bar=142: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-18T03:00:00.000+03:00,"🎨 DRAW CHECK bar=143: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-19T03:00:00.000+03:00,"🎨 DRAW CHECK bar=144: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-20T03:00:00.000+03:00,"🎨 DRAW CHECK bar=145: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-21T03:00:00.000+03:00,"🎨 DRAW CHECK bar=146: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-22T03:00:00.000+03:00,"🎨 DRAW CHECK bar=147: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
